tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt7917518	short	The Battle II	The Battle II	0	2008	\N	\N	Action,Short
tt7917520	tvEpisode	Miguel jura amor eterno a Nevis, pero la vida les pondrá pruebas muy duras	Miguel jura amor eterno a Nevis, pero la vida les pondrá pruebas muy duras	0	2017	\N	\N	Drama
tt7917522	tvEpisode	El amor de Miguel y Nevis es más fuerte que quienes desean separarlos	El amor de Miguel y Nevis es más fuerte que quienes desean separarlos	0	2017	\N	\N	Drama
tt7917526	short	The Pretentious French Film	The Pretentious French Film	0	2017	\N	3	Short
tt7917528	tvEpisode	Una noticia inesperada podría cambiar los planes de Miguel y Nevis	Una noticia inesperada podría cambiar los planes de Miguel y Nevis	0	2017	\N	\N	Drama
tt7917530	video	Aftermath	Aftermath	0	2016	\N	5	Animation,Drama,Music
tt7917532	short	Ironheart	Ironheart	0	2018	\N	12	Drama,History,Short
tt7917534	tvEpisode	Episode #2.7	Episode #2.7	0	2017	\N	\N	Comedy
tt7917536	tvEpisode	Qué bendición, en el vientre de Nevis crece el fruto de su amor con Miguel	Qué bendición, en el vientre de Nevis crece el fruto de su amor con Miguel	0	2017	\N	\N	Drama
tt7917538	tvEpisode	Nace Kaleth Morales mientras Miguel se define entre cantante o cocinero	Nace Kaleth Morales mientras Miguel se define entre cantante o cocinero	0	2017	\N	\N	Drama
tt7917540	tvEpisode	Episode #2.8	Episode #2.8	0	2017	\N	\N	Comedy
tt7917542	tvEpisode	Una mala jugada está a punto de acabar con la carrera musical de Miguel	Una mala jugada está a punto de acabar con la carrera musical de Miguel	0	2017	\N	\N	Drama
tt7917544	tvEpisode	Para que aprenda, Carmelo recibe un fuerte castigo que lo hace reflexionar	Para que aprenda, Carmelo recibe un fuerte castigo que lo hace reflexionar	0	2017	\N	\N	Drama
tt7917546	tvEpisode	A Miguel Morales se le presentan tentaciones que ponen en peligro su hogar	A Miguel Morales se le presentan tentaciones que ponen en peligro su hogar	0	2017	\N	\N	Drama
tt7917548	tvEpisode	Las travesuras de Kaleth por July traen grandes problemas para los Moralesr	Las travesuras de Kaleth por July traen grandes problemas para los Moralesr	0	2017	\N	\N	Drama
tt7917550	tvEpisode	El nacimiento de Eva Sandrith ayuda a reparar la relación de Miguel y Nevis	El nacimiento de Eva Sandrith ayuda a reparar la relación de Miguel y Nevis	0	2017	\N	\N	Drama
tt7917554	tvEpisode	Nevis le pone una condición a Miguel para grabar su nuevo disco en Medellín	Nevis le pone una condición a Miguel para grabar su nuevo disco en Medellín	0	2017	\N	\N	Drama
tt7917556	short	Phil Esposito Friendship tour of Russia	Phil Esposito Friendship tour of Russia	0	2017	\N	38	Short,Sport
tt7917558	tvEpisode	Kaleth cumple su sueño de grabar por primera vez, pero Miguel le corta las alasn	Kaleth cumple su sueño de grabar por primera vez, pero Miguel le corta las alasn	0	2017	\N	\N	Drama
tt7917562	tvEpisode	Los Morales inician una nueva vida lejos de las tentaciones y los problemas	Los Morales inician una nueva vida lejos de las tentaciones y los problemas	0	2017	\N	\N	Drama
tt7917564	tvEpisode	La vida estudiantil no es nada fácil y Kaleth encuentra sus primeros obstáculos	La vida estudiantil no es nada fácil y Kaleth encuentra sus primeros obstáculos	0	2017	\N	\N	Drama
tt7917566	tvEpisode	Miguel Morales recibe una aterradora profecía sobre la música y su familia	Miguel Morales recibe una aterradora profecía sobre la música y su familia	0	2017	\N	\N	Drama
tt7917570	tvEpisode	Nor Gloom of Night	Nor Gloom of Night	0	1952	\N	\N	Drama
tt7917572	movie	Daasi Ya Maa	Daasi Ya Maa	0	1946	\N	\N	\N
tt7917574	tvSeries	Comedy Nights Live	Comedy Nights Live	0	2016	2016	\N	Comedy
tt7917578	tvEpisode	Episode #1.2	Episode #1.2	0	2017	\N	\N	Drama
tt7917580	short	Heather Has Four Moms	Heather Has Four Moms	0	2018	\N	14	Comedy,Drama,Short
tt7917582	short	Girlhood	Girlhood	0	2017	\N	16	Biography,Documentary,Short
tt7917584	short	A traves de la dama	A traves de la dama	0	2016	\N	41	Documentary,Short
tt7917588	tvSeries	Drunk History: Pol litra historii	Drunk History: Pol litra historii	0	2017	\N	\N	Comedy
tt7917590	movie	The Journey: Making My First Movie	The Journey: Making My First Movie	0	2018	\N	46	Documentary
tt7917592	short	Dakota	Dakota	0	2017	\N	7	Adventure,Short
tt7917596	tvEpisode	Le Baiser	Le Baiser	0	2018	\N	\N	Comedy,Short
tt7917598	tvEpisode	Episode #1.3	Episode #1.3	0	2017	\N	\N	Drama
tt7917600	video	God I Love You	God I Love You	0	2012	\N	3	Musical,Short
tt7917602	tvEpisode	Episode #1.4	Episode #1.4	0	2017	\N	\N	Drama
tt7917604	tvEpisode	Episode #1.5	Episode #1.5	0	2017	\N	\N	Drama
